Reporting Day,Reporting Month,Reporting Date,UK_New Customers,ROI_Reporting Month,ROI_New Customers,Misalignment flag
28,3,2022-03-28,11,2022-03-01,7.0,
29,3,2022-03-29,3,2022-03-01,2.0,
30,3,2022-03-30,3,2022-03-01,1.0,
1,4,2022-04-01,5,2022-04-01,1.0,
4,4,2022-04-04,21,2022-04-01,12.0,
5,4,2022-04-05,7,2022-04-01,4.0,
6,4,2022-04-06,5,2022-04-01,3.0,
7,4,2022-04-07,4,2022-04-01,2.0,
8,4,2022-04-08,7,2022-04-01,4.0,
11,4,2022-04-11,15,2022-04-01,9.0,
12,4,2022-04-12,4,2022-04-01,2.0,
13,4,2022-04-13,11,2022-04-01,8.0,
14,4,2022-04-14,6,2022-04-01,3.0,
15,4,2022-04-15,3,2022-04-01,2.0,
18,4,2022-04-18,16,,0.0,Flag
19,4,2022-04-19,5,2022-04-01,13.0,
20,4,2022-04-20,10,2022-04-01,7.0,
21,4,2022-04-21,6,2022-04-01,4.0,
22,4,2022-04-22,4,2022-04-01,2.0,
25,4,2022-04-25,8,2022-04-01,4.0,
26,4,2022-04-26,6,2022-04-01,4.0,
27,4,2022-04-27,2,2022-04-01,1.0,
28,4,2022-04-28,5,2022-04-01,3.0,
29,4,2022-04-29,6,2022-05-01,3.0,Flag
2,5,2022-05-02,21,,0.0,Flag
3,5,2022-05-03,3,2022-05-01,15.0,
4,5,2022-05-04,6,2022-05-01,4.0,
5,5,2022-05-05,5,2022-05-01,3.0,
6,5,2022-05-06,5,2022-05-01,3.0,
9,5,2022-05-09,11,2022-05-01,7.0,
10,5,2022-05-10,5,2022-05-01,3.0,
11,5,2022-05-11,2,2022-05-01,1.0,
12,5,2022-05-12,1,2022-05-01,0.0,
13,5,2022-05-13,6,2022-05-01,3.0,
16,5,2022-05-16,18,2022-05-01,12.0,
17,5,2022-05-17,5,2022-05-01,3.0,
18,5,2022-05-18,10,2022-05-01,7.0,
19,5,2022-05-19,5,2022-05-01,3.0,
20,5,2022-05-20,6,2022-05-01,4.0,
23,5,2022-05-23,11,2022-05-01,7.0,
24,5,2022-05-24,6,2022-05-01,4.0,
25,5,2022-05-25,5,2022-05-01,3.0,
26,5,2022-05-26,3,2022-05-01,1.0,
27,5,2022-05-27,6,2022-05-01,4.0,
30,5,2022-05-30,14,2022-05-01,9.0,
1,6,2022-06-01,9,2022-06-01,2.0,
2,6,2022-06-02,5,2022-06-01,3.0,
3,6,2022-06-03,5,2022-06-01,3.0,
6,6,2022-06-06,10,,0.0,Flag
7,6,2022-06-07,4,2022-06-01,7.0,
8,6,2022-06-08,3,2022-06-01,2.0,
9,6,2022-06-09,4,2022-06-01,2.0,
10,6,2022-06-10,8,2022-06-01,5.0,
13,6,2022-06-13,20,2022-06-01,12.0,
14,6,2022-06-14,4,2022-06-01,2.0,
15,6,2022-06-15,2,2022-06-01,1.0,
16,6,2022-06-16,4,2022-06-01,2.0,
17,6,2022-06-17,6,2022-06-01,4.0,
20,6,2022-06-20,17,2022-06-01,10.0,
21,6,2022-06-21,7,2022-06-01,5.0,
22,6,2022-06-22,4,2022-06-01,2.0,
23,6,2022-06-23,4,2022-06-01,2.0,
24,6,2022-06-24,8,2022-06-01,5.0,
27,6,2022-06-27,17,2022-06-01,10.0,
28,6,2022-06-28,8,2022-06-01,5.0,
29,6,2022-06-29,4,2022-06-01,2.0,
31,7,2022-07-31,3,,0.0,Flag
1,7,2022-07-01,8,2022-07-01,5.0,
4,7,2022-07-04,16,2022-07-01,9.0,
5,7,2022-07-05,6,2022-07-01,4.0,
6,7,2022-07-06,6,2022-07-01,4.0,
7,7,2022-07-07,9,2022-07-01,6.0,
8,7,2022-07-08,5,2022-07-01,3.0,
11,7,2022-07-11,12,2022-07-01,7.0,
12,7,2022-07-12,8,2022-07-01,6.0,
13,7,2022-07-13,4,2022-07-01,2.0,
14,7,2022-07-14,5,2022-07-01,3.0,
15,7,2022-07-15,2,2022-07-01,1.0,
18,7,2022-07-18,18,2022-07-01,11.0,
19,7,2022-07-19,4,2022-07-01,2.0,
20,7,2022-07-20,3,2022-07-01,2.0,
21,7,2022-07-21,5,2022-07-01,3.0,
22,7,2022-07-22,4,2022-07-01,2.0,
25,7,2022-07-25,13,2022-07-01,7.0,
26,7,2022-07-26,3,2022-07-01,1.0,
27,7,2022-07-27,3,2022-07-01,2.0,
28,7,2022-07-28,6,2022-07-01,4.0,
29,7,2022-07-29,9,2022-08-01,6.0,Flag
1,8,2022-08-01,18,,0.0,Flag
2,8,2022-08-02,7,2022-08-01,16.0,
3,8,2022-08-03,4,2022-08-01,2.0,
4,8,2022-08-04,6,2022-08-01,4.0,
5,8,2022-08-05,9,2022-08-01,6.0,
8,8,2022-08-08,16,2022-08-01,10.0,
9,8,2022-08-09,3,2022-08-01,1.0,
10,8,2022-08-10,4,2022-08-01,2.0,
11,8,2022-08-11,5,2022-08-01,3.0,
12,8,2022-08-12,8,2022-08-01,6.0,
15,8,2022-08-15,10,2022-08-01,5.0,
16,8,2022-08-16,4,2022-08-01,2.0,
17,8,2022-08-17,7,2022-08-01,5.0,
18,8,2022-08-18,4,2022-08-01,2.0,
19,8,2022-08-19,3,2022-08-01,1.0,
22,8,2022-08-22,14,2022-08-01,7.0,
23,8,2022-08-23,6,2022-08-01,4.0,
24,8,2022-08-24,6,2022-08-01,4.0,
25,8,2022-08-25,5,2022-08-01,3.0,
26,8,2022-08-26,4,2022-08-01,3.0,
29,8,2022-08-29,14,2022-08-01,8.0,
30,8,2022-08-30,8,2022-08-01,5.0,
1,9,2022-09-01,7,2022-09-01,2.0,
2,9,2022-09-02,3,2022-09-01,2.0,
5,9,2022-09-05,12,2022-09-01,7.0,
6,9,2022-09-06,9,2022-09-01,6.0,
7,9,2022-09-07,6,2022-09-01,4.0,
8,9,2022-09-08,9,2022-09-01,6.0,
9,9,2022-09-09,5,2022-09-01,3.0,
12,9,2022-09-12,12,2022-09-01,7.0,
13,9,2022-09-13,3,2022-09-01,2.0,
14,9,2022-09-14,5,2022-09-01,3.0,
15,9,2022-09-15,4,2022-09-01,2.0,
16,9,2022-09-16,9,2022-09-01,6.0,
19,9,2022-09-19,13,2022-09-01,7.0,
20,9,2022-09-20,7,2022-09-01,4.0,
21,9,2022-09-21,6,2022-09-01,4.0,
22,9,2022-09-22,3,2022-09-01,1.0,
23,9,2022-09-23,2,2022-09-01,1.0,
26,9,2022-09-26,15,2022-09-01,8.0,
27,9,2022-09-27,2,2022-09-01,1.0,
28,9,2022-09-28,2,2022-09-01,1.0,
29,9,2022-09-29,4,2022-09-01,2.0,
31,10,2022-10-31,3,,0.0,Flag
3,10,2022-10-03,10,2022-10-01,5.0,
4,10,2022-10-04,3,2022-10-01,1.0,
5,10,2022-10-05,5,2022-10-01,3.0,
6,10,2022-10-06,7,2022-10-01,4.0,
7,10,2022-10-07,1,2022-10-01,0.0,
10,10,2022-10-10,17,2022-10-01,10.0,
11,10,2022-10-11,2,2022-10-01,0.0,
12,10,2022-10-12,3,2022-10-01,1.0,
13,10,2022-10-13,4,2022-10-01,2.0,
14,10,2022-10-14,3,2022-10-01,1.0,
17,10,2022-10-17,9,2022-10-01,5.0,
18,10,2022-10-18,3,2022-10-01,1.0,
19,10,2022-10-19,10,2022-10-01,7.0,
20,10,2022-10-20,4,2022-10-01,2.0,
21,10,2022-10-21,5,2022-10-01,3.0,
24,10,2022-10-24,10,2022-10-01,6.0,
25,10,2022-10-25,2,2022-10-01,1.0,
26,10,2022-10-26,8,2022-10-01,6.0,
27,10,2022-10-27,6,2022-10-01,4.0,
28,10,2022-10-28,2,2022-11-01,1.0,Flag
1,11,2022-11-01,25,2022-11-01,16.0,
2,11,2022-11-02,3,2022-11-01,1.0,
3,11,2022-11-03,7,2022-11-01,4.0,
4,11,2022-11-04,2,2022-11-01,1.0,
7,11,2022-11-07,10,2022-11-01,4.0,
8,11,2022-11-08,7,2022-11-01,5.0,
9,11,2022-11-09,6,2022-11-01,4.0,
10,11,2022-11-10,4,2022-11-01,2.0,
11,11,2022-11-11,5,2022-11-01,3.0,
14,11,2022-11-14,16,2022-11-01,10.0,
15,11,2022-11-15,6,2022-11-01,3.0,
16,11,2022-11-16,6,2022-11-01,4.0,
17,11,2022-11-17,4,2022-11-01,2.0,
18,11,2022-11-18,4,2022-11-01,2.0,
21,11,2022-11-21,28,2022-11-01,19.0,
22,11,2022-11-22,7,2022-11-01,4.0,
23,11,2022-11-23,7,2022-11-01,4.0,
24,11,2022-11-24,4,2022-11-01,2.0,
25,11,2022-11-25,6,2022-11-01,4.0,
28,11,2022-11-28,19,2022-11-01,11.0,
29,11,2022-11-29,7,2022-11-01,4.0,
31,12,2022-12-31,2,,0.0,Flag
1,12,2022-12-01,4,2022-12-01,2.0,
2,12,2022-12-02,5,2022-12-01,3.0,
5,12,2022-12-05,18,2022-12-01,11.0,
6,12,2022-12-06,11,2022-12-01,8.0,
7,12,2022-12-07,3,2022-12-01,1.0,
8,12,2022-12-08,5,2022-12-01,3.0,
9,12,2022-12-09,4,2022-12-01,2.0,
12,12,2022-12-12,15,2022-12-01,9.0,
13,12,2022-12-13,3,2022-12-01,1.0,
14,12,2022-12-14,4,2022-12-01,2.0,
15,12,2022-12-15,6,2022-12-01,4.0,
16,12,2022-12-16,5,2022-12-01,3.0,
19,12,2022-12-19,13,2022-12-01,7.0,
20,12,2022-12-20,10,2022-12-01,7.0,
21,12,2022-12-21,4,2022-12-01,2.0,
22,12,2022-12-22,7,2022-12-01,5.0,
23,12,2022-12-23,2,2022-12-01,1.0,
26,12,2022-12-26,15,,0.0,Flag
28,12,2022-12-28,47,2022-12-01,5.0,
29,12,2022-12-29,4,2022-12-01,2.0,
30,12,2022-12-30,5,2023-01-01,3.0,Flag
2,1,2023-01-02,15,,0.0,Flag
3,1,2023-01-03,6,2023-01-01,14.0,
4,1,2023-01-04,5,2023-01-01,3.0,
5,1,2023-01-05,4,2023-01-01,3.0,
6,1,2023-01-06,5,2023-01-01,3.0,
9,1,2023-01-09,14,2023-01-01,10.0,
10,1,2023-01-10,4,2023-01-01,2.0,
11,1,2023-01-11,4,2023-01-01,2.0,
12,1,2023-01-12,7,2023-01-01,5.0,
13,1,2023-01-13,3,2023-01-01,1.0,
16,1,2023-01-16,14,2023-01-01,9.0,
17,1,2023-01-17,6,2023-01-01,4.0,
18,1,2023-01-18,10,2023-01-01,7.0,
19,1,2023-01-19,3,2023-01-01,2.0,
20,1,2023-01-20,3,2023-01-01,2.0,
23,1,2023-01-23,16,2023-01-01,10.0,
24,1,2023-01-24,9,2023-01-01,6.0,
25,1,2023-01-25,3,2023-01-01,1.0,
26,1,2023-01-26,3,2023-01-01,1.0,
27,1,2023-01-27,8,2023-01-01,6.0,
30,1,2023-01-30,12,2023-01-01,6.0,
1,2,2023-02-01,10,2023-02-01,2.0,
2,2,2023-02-02,4,2023-02-01,2.0,
3,2,2023-02-03,3,2023-02-01,1.0,
6,2,2023-02-06,18,,0.0,Flag
7,2,2023-02-07,8,2023-02-01,16.0,
8,2,2023-02-08,9,2023-02-01,6.0,
9,2,2023-02-09,6,2023-02-01,4.0,
10,2,2023-02-10,4,2023-02-01,2.0,
13,2,2023-02-13,17,2023-02-01,10.0,
14,2,2023-02-14,11,2023-02-01,8.0,
15,2,2023-02-15,4,2023-02-01,2.0,
16,2,2023-02-16,6,2023-02-01,4.0,
17,2,2023-02-17,7,2023-02-01,4.0,
20,2,2023-02-20,16,2023-02-01,10.0,
21,2,2023-02-21,4,2023-02-01,2.0,
22,2,2023-02-22,6,2023-02-01,4.0,
23,2,2023-02-23,7,2023-02-01,5.0,
24,2,2023-02-24,4,2023-02-01,3.0,
27,2,2023-02-27,14,2023-02-01,8.0,
1,3,2023-03-01,8,2023-03-01,2.0,
2,3,2023-03-02,2,2023-03-01,1.0,
3,3,2023-03-03,9,2023-03-01,6.0,
6,3,2023-03-06,24,2023-03-01,16.0,
7,3,2023-03-07,2,2023-03-01,1.0,
8,3,2023-03-08,4,2023-03-01,2.0,
9,3,2023-03-09,5,2023-03-01,3.0,
10,3,2023-03-10,2,2023-03-01,1.0,
13,3,2023-03-13,15,2023-03-01,9.0,
14,3,2023-03-14,5,2023-03-01,3.0,
15,3,2023-03-15,8,2023-03-01,6.0,
16,3,2023-03-16,2,2023-03-01,0.0,
17,3,2023-03-17,4,,0.0,Flag
20,3,2023-03-20,13,2023-03-01,10.0,
21,3,2023-03-21,4,2023-03-01,2.0,
22,3,2023-03-22,4,2023-03-01,2.0,
23,3,2023-03-23,9,2023-03-01,6.0,
24,3,2023-03-24,2,2023-03-01,1.0,
27,3,2023-03-27,16,2023-03-01,10.0,
28,3,2023-03-28,4,2023-03-01,2.0,
29,3,2023-03-29,3,2023-03-01,1.0,
30,3,2023-03-30,2,2023-03-01,1.0,
3,4,2023-04-03,27,2023-04-01,13.0,
4,4,2023-04-04,2,2023-04-01,1.0,
5,4,2023-04-05,3,2023-04-01,1.0,
6,4,2023-04-06,5,2023-04-01,3.0,
7,4,2023-04-07,0,2023-04-01,0.0,
10,4,2023-04-10,17,,0.0,Flag
11,4,2023-04-11,6,2023-04-01,15.0,
12,4,2023-04-12,3,2023-04-01,1.0,
13,4,2023-04-13,5,2023-04-01,3.0,
14,4,2023-04-14,6,2023-04-01,4.0,
17,4,2023-04-17,20,2023-04-01,13.0,
18,4,2023-04-18,4,2023-04-01,2.0,
19,4,2023-04-19,2,2023-04-01,1.0,
20,4,2023-04-20,3,2023-04-01,2.0,
21,4,2023-04-21,7,2023-04-01,5.0,
24,4,2023-04-24,15,2023-04-01,10.0,
25,4,2023-04-25,6,2023-04-01,4.0,
26,4,2023-04-26,3,2023-04-01,1.0,
27,4,2023-04-27,7,2023-04-01,5.0,
28,4,2023-04-28,9,2023-05-01,6.0,Flag
1,5,2023-05-01,13,,0.0,Flag
2,5,2023-05-02,0,2023-05-01,7.0,
3,5,2023-05-03,8,2023-05-01,5.0,
4,5,2023-05-04,3,2023-05-01,1.0,
5,5,2023-05-05,1,2023-05-01,0.0,
8,5,2023-05-08,16,2023-05-01,9.0,
9,5,2023-05-09,4,2023-05-01,2.0,
10,5,2023-05-10,5,2023-05-01,3.0,
11,5,2023-05-11,4,2023-05-01,3.0,
12,5,2023-05-12,5,2023-05-01,3.0,
15,5,2023-05-15,14,2023-05-01,9.0,
16,5,2023-05-16,6,2023-05-01,4.0,
17,5,2023-05-17,6,2023-05-01,4.0,
18,5,2023-05-18,6,2023-05-01,4.0,
19,5,2023-05-19,5,2023-05-01,3.0,
22,5,2023-05-22,21,2023-05-01,14.0,
23,5,2023-05-23,6,2023-05-01,4.0,
24,5,2023-05-24,5,2023-05-01,3.0,
25,5,2023-05-25,8,2023-05-01,5.0,
26,5,2023-05-26,5,2023-05-01,3.0,
29,5,2023-05-29,13,2023-05-01,8.0,
30,5,2023-05-30,3,2023-05-01,1.0,
1,6,2023-06-01,11,2023-06-01,3.0,
2,6,2023-06-02,4,2023-06-01,2.0,
5,6,2023-06-05,19,,0.0,Flag
6,6,2023-06-06,4,2023-06-01,14.0,
7,6,2023-06-07,3,2023-06-01,1.0,
8,6,2023-06-08,4,2023-06-01,2.0,
9,6,2023-06-09,8,2023-06-01,6.0,
12,6,2023-06-12,22,2023-06-01,14.0,
13,6,2023-06-13,11,2023-06-01,8.0,
14,6,2023-06-14,5,2023-06-01,3.0,
15,6,2023-06-15,1,2023-06-01,0.0,
16,6,2023-06-16,4,2023-06-01,2.0,
19,6,2023-06-19,8,2023-06-01,3.0,
20,6,2023-06-20,4,2023-06-01,2.0,
21,6,2023-06-21,4,2023-06-01,2.0,
22,6,2023-06-22,3,2023-06-01,1.0,
23,6,2023-06-23,6,2023-06-01,3.0,
26,6,2023-06-26,19,2023-06-01,12.0,
27,6,2023-06-27,4,2023-06-01,2.0,
28,6,2023-06-28,3,2023-06-01,1.0,
29,6,2023-06-29,2,2023-06-01,1.0,
31,7,2023-07-31,12,2023-08-01,9.0,Flag
3,7,2023-07-03,15,2023-07-01,9.0,
4,7,2023-07-04,8,2023-07-01,5.0,
5,7,2023-07-05,5,2023-07-01,3.0,
6,7,2023-07-06,1,2023-07-01,0.0,
7,7,2023-07-07,8,2023-07-01,5.0,
10,7,2023-07-10,13,2023-07-01,7.0,
11,7,2023-07-11,2,2023-07-01,0.0,
12,7,2023-07-12,7,2023-07-01,5.0,
13,7,2023-07-13,7,2023-07-01,5.0,
14,7,2023-07-14,6,2023-07-01,4.0,
17,7,2023-07-17,13,2023-07-01,7.0,
18,7,2023-07-18,8,2023-07-01,5.0,
19,7,2023-07-19,6,2023-07-01,4.0,
20,7,2023-07-20,3,2023-07-01,2.0,
21,7,2023-07-21,6,2023-07-01,3.0,
24,7,2023-07-24,16,2023-07-01,9.0,
25,7,2023-07-25,4,2023-07-01,2.0,
26,7,2023-07-26,3,2023-07-01,2.0,
27,7,2023-07-27,2,2023-07-01,1.0,
28,7,2023-07-28,7,2023-07-01,5.0,
1,8,2023-08-01,22,2023-08-01,5.0,
2,8,2023-08-02,6,2023-08-01,4.0,
3,8,2023-08-03,4,2023-08-01,2.0,
4,8,2023-08-04,9,2023-08-01,6.0,
7,8,2023-08-07,12,,0.0,Flag
8,8,2023-08-08,4,2023-08-01,8.0,
9,8,2023-08-09,2,2023-08-01,1.0,
10,8,2023-08-10,5,2023-08-01,3.0,
11,8,2023-08-11,9,2023-08-01,6.0,
14,8,2023-08-14,14,2023-08-01,9.0,
15,8,2023-08-15,7,2023-08-01,4.0,
16,8,2023-08-16,6,2023-08-01,4.0,
17,8,2023-08-17,7,2023-08-01,5.0,
18,8,2023-08-18,6,2023-08-01,4.0,
21,8,2023-08-21,14,2023-08-01,8.0,
22,8,2023-08-22,5,2023-08-01,3.0,
23,8,2023-08-23,7,2023-08-01,4.0,
24,8,2023-08-24,8,2023-08-01,6.0,
25,8,2023-08-25,3,2023-08-01,1.0,
28,8,2023-08-28,26,2023-08-01,18.0,
29,8,2023-08-29,4,2023-08-01,2.0,
30,8,2023-08-30,4,2023-08-01,2.0,
1,9,2023-09-01,11,2023-09-01,1.0,
4,9,2023-09-04,18,2023-09-01,11.0,
5,9,2023-09-05,5,2023-09-01,3.0,
6,9,2023-09-06,6,2023-09-01,4.0,
7,9,2023-09-07,4,2023-09-01,2.0,
8,9,2023-09-08,3,2023-09-01,1.0,
11,9,2023-09-11,12,2023-09-01,6.0,
12,9,2023-09-12,7,2023-09-01,5.0,
13,9,2023-09-13,3,2023-09-01,2.0,
14,9,2023-09-14,5,2023-09-01,3.0,
15,9,2023-09-15,3,2023-09-01,1.0,
18,9,2023-09-18,13,2023-09-01,7.0,
19,9,2023-09-19,6,2023-09-01,3.0,
20,9,2023-09-20,5,2023-09-01,3.0,
21,9,2023-09-21,9,2023-09-01,6.0,
22,9,2023-09-22,7,2023-09-01,5.0,
25,9,2023-09-25,15,2023-09-01,9.0,
26,9,2023-09-26,5,2023-09-01,3.0,
27,9,2023-09-27,4,2023-09-01,2.0,
28,9,2023-09-28,2,2023-09-01,1.0,
29,9,2023-09-29,2,2023-10-01,1.0,Flag
2,10,2023-10-02,20,2023-10-01,13.0,
3,10,2023-10-03,4,2023-10-01,2.0,
4,10,2023-10-04,9,2023-10-01,6.0,
5,10,2023-10-05,3,2023-10-01,2.0,
6,10,2023-10-06,7,2023-10-01,4.0,
9,10,2023-10-09,11,2023-10-01,7.0,
10,10,2023-10-10,6,2023-10-01,4.0,
11,10,2023-10-11,9,2023-10-01,6.0,
12,10,2023-10-12,6,2023-10-01,4.0,
13,10,2023-10-13,7,2023-10-01,5.0,
16,10,2023-10-16,13,2023-10-01,7.0,
17,10,2023-10-17,2,2023-10-01,1.0,
18,10,2023-10-18,3,2023-10-01,1.0,
19,10,2023-10-19,5,2023-10-01,3.0,
20,10,2023-10-20,6,2023-10-01,4.0,
23,10,2023-10-23,19,2023-10-01,11.0,
24,10,2023-10-24,2,2023-10-01,1.0,
25,10,2023-10-25,6,2023-10-01,3.0,
26,10,2023-10-26,4,2023-10-01,2.0,
27,10,2023-10-27,5,2023-10-01,3.0,
30,10,2023-10-30,15,,0.0,Flag
1,11,2023-11-01,13,2023-11-01,4.0,
2,11,2023-11-02,5,2023-11-01,3.0,
3,11,2023-11-03,7,2023-11-01,5.0,
6,11,2023-11-06,14,2023-11-01,8.0,
7,11,2023-11-07,4,2023-11-01,2.0,
8,11,2023-11-08,2,2023-11-01,1.0,
9,11,2023-11-09,4,2023-11-01,2.0,
10,11,2023-11-10,4,2023-11-01,2.0,
13,11,2023-11-13,17,2023-11-01,9.0,
14,11,2023-11-14,5,2023-11-01,3.0,
15,11,2023-11-15,5,2023-11-01,3.0,
16,11,2023-11-16,5,2023-11-01,3.0,
17,11,2023-11-17,4,2023-11-01,2.0,
20,11,2023-11-20,13,2023-11-01,9.0,
21,11,2023-11-21,2,2023-11-01,1.0,
22,11,2023-11-22,5,2023-11-01,3.0,
23,11,2023-11-23,7,2023-11-01,5.0,
24,11,2023-11-24,5,2023-11-01,3.0,
27,11,2023-11-27,16,2023-11-01,10.0,
28,11,2023-11-28,3,2023-11-01,1.0,
29,11,2023-11-29,10,2023-11-01,7.0,
31,12,2023-12-31,5,,0.0,Flag
1,12,2023-12-01,8,2023-12-01,6.0,
4,12,2023-12-04,20,2023-12-01,13.0,
5,12,2023-12-05,6,2023-12-01,4.0,
6,12,2023-12-06,2,2023-12-01,1.0,
7,12,2023-12-07,4,2023-12-01,3.0,
8,12,2023-12-08,5,2023-12-01,3.0,
11,12,2023-12-11,21,2023-12-01,14.0,
12,12,2023-12-12,5,2023-12-01,3.0,
13,12,2023-12-13,2,2023-12-01,1.0,
14,12,2023-12-14,7,2023-12-01,4.0,
15,12,2023-12-15,4,2023-12-01,3.0,
18,12,2023-12-18,8,2023-12-01,4.0,
19,12,2023-12-19,4,2023-12-01,2.0,
20,12,2023-12-20,7,2023-12-01,4.0,
21,12,2023-12-21,0,2023-12-01,0.0,
22,12,2023-12-22,5,2023-12-01,3.0,
25,12,2023-12-25,17,,0.0,Flag
26,12,2023-12-26,7,,0.0,Flag
28,12,2023-12-28,41,2023-12-01,3.0,
29,12,2023-12-29,4,,0.0,Flag
